UserID,HasUserChurned,TotalCharges,MonthlyCharges,ContractType,PaymentMethod,Gender,AgeOver30,IsMarried,HasChildren,MonthsTenure,HasPhoneLine,HasMultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
aaagj5950,No,1537.9,84.3,Month-to-month,Bank transfer (automatic),Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
aacsz0374,No,50.15,50.15,Month-to-month,Electronic check,Female,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No
aadlv4868,No,7862.25,116.25,One year,Electronic check,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
aadsa0988,No,5824.75,80.85,Two year,Bank transfer (automatic),Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
aafqh9114,No,3094.65,65.65,One year,Electronic check,Female,0,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,No,Yes
aagrx1552,No,3211.9,106.4,Month-to-month,Bank transfer (automatic),Female,0,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
aalno2324,No,1203.95,24.55,One year,Bank transfer (automatic),Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aalrn3164,Yes,347.4,70,One year,Mailed check,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes
aalsr6616,No,6725.3,104.3,Two year,Credit card (automatic),Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
aanrq2999,No,1524.85,71.05,Two year,Credit card (automatic),Female,0,No,No,21,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No
aapkx3211,No,2031.95,98.55,Month-to-month,Mailed check,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
aaqou3129,No,485.9,25.6,Two year,Mailed check,Female,0,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aatjp8454,No,8405,115.05,Two year,Credit card (automatic),Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
aawzp8070,No,828.2,34.25,Month-to-month,Mailed check,Male,1,Yes,No,24,No,No phone service,DSL,No,No,Yes,Yes,No,No
aaxcb8201,No,1404.65,60.35,Month-to-month,Electronic check,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No,No,Yes,No
